,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ENJ-USD,2.8775335344451416,10.0
1,XTZ-USD,XMR-USD,0.004842834673900534,18.0
2,XTZ-USD,ADA-USD,2.655427470437879,6.0
3,XTZ-USD,BTC-USD,2.6472281462553954e-05,17.0
4,XTZ-USD,MATIC-USD,1.2383497523207878,19.0
5,XTZ-USD,1INCH-USD,2.818809691247492,9.0
6,XTZ-USD,ETH-USD,0.00041821394260770756,10.0
7,ICP-USD,ENJ-USD,14.449228544384809,8.0
8,ICP-USD,ZRX-USD,20.119630374327375,10.0
9,ICP-USD,COMP-USD,0.08228925095556013,10.0
10,ICP-USD,DOT-USD,0.7833605853862163,9.0
11,ETC-USD,YFI-USD,0.002809442509991079,12.0
12,ETC-USD,NEAR-USD,13.444907271095456,7.0
13,CELO-USD,BTC-USD,1.62470123056437e-05,11.0
14,ENJ-USD,YFI-USD,4.328681957873951e-05,21.0
15,ENJ-USD,COMP-USD,0.005695136738550353,7.0
16,ENJ-USD,ALGO-USD,2.5175774782271407,7.0
17,ENJ-USD,XMR-USD,0.0016826847941482056,14.0
18,ENJ-USD,ADA-USD,0.9225848891201875,10.0
19,ENJ-USD,DOT-USD,0.05420541315253487,9.0
20,ENJ-USD,LTC-USD,0.003669946723167291,16.0
21,ENJ-USD,AAVE-USD,0.0042692539085531795,10.0
22,ENJ-USD,1INCH-USD,0.9795179736734116,6.0
23,ENJ-USD,ETH-USD,0.000145318922093407,6.0
24,ZRX-USD,YFI-USD,3.107372016446999e-05,24.0
25,ZRX-USD,XLM-USD,1.433765647273388,19.0
26,ZRX-USD,ALGO-USD,1.8075625691769743,12.0
27,ZRX-USD,XMR-USD,0.0012080757236020534,15.0
28,ZRX-USD,ADA-USD,0.6623414962824179,15.0
29,ZRX-USD,SOL-USD,0.008268546508162243,10.0
30,ZRX-USD,ETH-USD,0.00010433018486874011,12.0
31,YFI-USD,XLM-USD,46120.97754446846,23.0
32,YFI-USD,NEAR-USD,4784.67878526256,11.0
33,YFI-USD,DOT-USD,1251.7829886245754,17.0
34,YFI-USD,AAVE-USD,98.59235199816176,16.0
35,COMP-USD,XLM-USD,350.51126630774985,20.0
36,COMP-USD,ALGO-USD,441.939882053173,10.0
37,COMP-USD,XMR-USD,0.29534456884003235,13.0
38,COMP-USD,SUSHI-USD,71.39515410770076,15.0
39,COMP-USD,ADA-USD,161.92678971942468,13.0
40,COMP-USD,BTC-USD,0.0016147424645495936,8.0
41,COMP-USD,DOT-USD,9.513719357426314,12.0
42,COMP-USD,SOL-USD,2.021241206970179,17.0
43,COMP-USD,LTC-USD,0.6443607982713516,15.0
44,COMP-USD,UNI-USD,8.919708561407477,23.0
45,COMP-USD,MATIC-USD,75.5291013514346,16.0
46,COMP-USD,1INCH-USD,171.9538829309609,9.0
47,COMP-USD,ETH-USD,0.025507896398301522,9.0
48,EOS-USD,BTC-USD,2.2396706796481823e-05,6.0
49,EOS-USD,1INCH-USD,2.38485506797503,8.0
50,NEAR-USD,AAVE-USD,0.02060352051749535,9.0
51,ALGO-USD,BTC-USD,3.6533545712839438e-06,19.0
52,ALGO-USD,1INCH-USD,0.3890307308078567,8.0
53,ALGO-USD,ETH-USD,5.771529948353288e-05,13.0
54,SUSHI-USD,BTC-USD,2.2606626001877515e-05,15.0
55,SUSHI-USD,ETH-USD,0.0003570745057883526,18.0
56,ADA-USD,DOT-USD,0.05874570814090449,9.0
57,ADA-USD,AAVE-USD,0.004626499322759783,10.0
58,ADA-USD,MATIC-USD,0.4662606436694945,21.0
59,ADA-USD,1INCH-USD,1.0613185887580983,11.0
60,ADA-USD,AVAX-USD,0.025239325798671195,24.0
61,BTC-USD,LTC-USD,398.92998105491483,11.0
62,BTC-USD,1INCH-USD,106470.83271749476,6.0
63,CRV-USD,SOL-USD,0.022693831398518997,20.0
64,CRV-USD,AVAX-USD,0.04591407472311696,15.0
65,SOL-USD,UNI-USD,4.412617077927112,16.0
66,LTC-USD,ETH-USD,0.039571731862854766,14.0
67,MATIC-USD,AVAX-USD,0.05412820746033718,7.0
68,1INCH-USD,ETH-USD,0.00014833516849532602,7.0
